Slice	Count	Total Area	Average Size	%Area	Mean	Circ.	Solidity
332	1	171313	171313	42.088	255	0.250	0.879
333	1	171194	171194	42.058	255	0.263	0.886
334	1	170088	170088	41.787	255	0.265	0.886
335	1	170530	170530	41.895	255	0.260	0.880
336	1	170147	170147	41.801	255	0.258	0.879
337	1	169568	169568	41.659	255	0.265	0.887
338	1	169307	169307	41.595	255	0.265	0.886
339	1	169306	169306	41.594	255	0.260	0.883
340	1	168784	168784	41.466	255	0.268	0.885
341	1	169171	169171	41.561	255	0.277	0.889
342	1	168978	168978	41.514	255	0.264	0.880
343	1	168778	168778	41.465	255	0.260	0.877
344	1	168359	168359	41.362	255	0.264	0.877
345	1	168537	168537	41.406	255	0.267	0.880
346	1	167811	167811	41.227	255	0.267	0.878
347	1	168536	168536	41.405	255	0.254	0.876
348	1	168082	168082	41.294	255	0.274	0.879
349	1	168523	168523	41.402	255	0.267	0.878
350	1	167842	167842	41.235	255	0.260	0.876
351	1	169516	169516	41.646	255	0.237	0.860
352	1	169321	169321	41.598	255	0.247	0.863
353	1	168847	168847	41.482	255	0.227	0.857
354	1	168754	168754	41.459	255	0.226	0.853
355	1	168552	168552	41.409	255	0.222	0.854
356	1	168337	168337	41.356	255	0.229	0.855
357	1	168175	168175	41.317	255	0.225	0.846
358	1	167722	167722	41.205	255	0.234	0.857
359	1	168190	168190	41.320	255	0.220	0.848
360	1	167146	167146	41.064	255	0.235	0.847
361	1	167194	167194	41.076	255	0.238	0.846
362	1	168638	168638	41.430	255	0.254	0.853
363	1	168304	168304	41.348	255	0.236	0.850
364	1	168235	168235	41.331	255	0.246	0.854
365	1	167323	167323	41.107	255	0.237	0.851
366	1	167273	167273	41.095	255	0.245	0.849
367	1	167023	167023	41.034	255	0.241	0.851
368	1	166447	166447	40.892	255	0.232	0.849
369	1	166191	166191	40.829	255	0.238	0.852
370	1	165852	165852	40.746	255	0.242	0.851
371	1	165418	165418	40.639	255	0.247	0.852
372	1	164923	164923	40.518	255	0.241	0.853
373	1	164852	164852	40.500	255	0.235	0.851
374	1	164291	164291	40.362	255	0.233	0.849
375	1	164167	164167	40.332	255	0.232	0.846
376	1	163911	163911	40.269	255	0.234	0.847
377	1	163968	163968	40.283	255	0.223	0.846
378	1	163694	163694	40.216	255	0.243	0.852
379	1	163663	163663	40.208	255	0.251	0.852
380	1	163753	163753	40.230	255	0.258	0.852
381	1	163577	163577	40.187	255	0.256	0.855
382	1	163280	163280	40.114	255	0.252	0.855
383	1	163280	163280	40.114	255	0.252	0.855
